time,category,source,title,content,related_stocks,related_sectors,note
17:14,yege_post,yege,2026-05-13 17:14 野哥同花顺动态,那些纯造谣我的，都点点小手。我买卖自由，你们也是，买卖自由，你们想干啥就干啥。我想减就减，我想做t就做t ，盈亏自负，我免费分享的人给那些不是粉丝的人造谣欺负了。就是你们粉丝的无能。不要吵架。我们人这么多和他把我欺负了？？,,交易动作;风险提示,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dgqnd7id7s3jqc210944a
14:59,yege_post,yege,2026-05-13 14:59 圣阳股份(002580);利通电子(603629);浙江世宝(002703),圣阳股份(002580) 利通电子(603629) 浙江世宝(002703) 不符合我预期的我都减一点。没有做t昂。突然觉得没意思了。今天心情不好。就这样吧！emmm了,圣阳股份(002580);利通电子(603629);浙江世宝(002703),含图片/截图核对;个股相关;野哥同花顺逻辑;储能;铅酸电池,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dgpb90ndmmvp25cdfa42e
14:50,yege_post,yege,2026-05-13 14:50 润泽科技(300442);合力泰(002217);天华新能(300390),润泽科技(300442) 合力泰(002217) 天华新能(300390) 今天下午急得要死。大盘涨疯了，手上的在画心电图。今天都没有跑赢你们。很无语,润泽科技(300442);合力泰(002217);天华新能(300390),含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心;消费电子;光学光电子;锂电材料,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dgou2fji7s5x269d6e8e0
13:06,yege_post,yege,2026-05-13 13:06 润泽科技(300442);良信股份(002706),润泽科技(300442) 良信股份(002706) 啊呀我的粉丝真牛，16000白亿也是我粉丝抬轿子拉的。哈哈哈。菜就多练，别废口舌。aidc快点起飞。,润泽科技(300442);良信股份(002706),含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心;低压电器,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dgi0pue5jqbjq9f214e0d
10:57,yege_post,yege,2026-05-13 10:57 润泽科技(300442),"润泽科技(300442) userId:104717706,userName:社区小助手",润泽科技(300442),含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dgexme1g7kquu35da7b86
09:34,yege_post,yege,2026-05-13 09:34 良信股份(002706);合力泰(002217);天华新能(300390),良信股份(002706) 合力泰(002217) 天华新能(300390) 一手？？？？,良信股份(002706);合力泰(002217);天华新能(300390),含图片/截图核对;个股相关;低压电器;AIDC;消费电子;光学光电子;锂电材料,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dg8guhvqls35iac6e9502
09:26,yege_post,yege,2026-05-13 09:26 良信股份(002706),良信股份(002706) 我只认资金。别跟我扯那些没用的。,良信股份(002706),含图片/截图核对;个股相关;低压电器;AIDC,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dg83mv9bu12ba5f308dae
09:07,yege_post,yege,2026-05-13 09:07 野哥同花顺动态,今天看好储能电池板块，半导体需要规避。,,,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dg7i1rgm1jdh21c39fe80
17:14,valuable_comment,yege,同花顺评论备份 17:14,帖子评论量备份：926 条。帖子摘要：那些纯造谣我的，都点点小手。我买卖自由，你们也是，买卖自由，你们想干啥就干啥。我想减就减，我想做t就做t ，盈亏自负，我免费分享的人给那些不是粉丝的人造谣欺负了。就是你们粉丝的无能。不要吵架。我们人这么多和他把我欺负了？？,,交易动作;风险提示,文本包含买入、进场、加仓、低吸、锁仓或试错等动作词。；文本包含被套、解套、风险、盈亏自负等风控词。
14:59,valuable_comment,yege,同花顺评论备份 14:59,帖子评论量备份：775 条。帖子摘要：圣阳股份(002580) 利通电子(603629) 浙江世宝(002703) 不符合我预期的我都减一点。没有做t昂。突然觉得没意思了。今天心情不好。就这样吧！emmm了,圣阳股份(002580);利通电子(603629);浙江世宝(002703),含图片/截图核对;个股相关;野哥同花顺逻辑;储能;铅酸电池,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高；THS-01 要信早信，无先手不追高；THS-06 二次回踩看承接。
14:50,valuable_comment,yege,同花顺评论备份 14:50,帖子评论量备份：530 条。帖子摘要：润泽科技(300442) 合力泰(002217) 天华新能(300390) 今天下午急得要死。大盘涨疯了，手上的在画心电图。今天都没有跑赢你们。很无语,润泽科技(300442);合力泰(002217);天华新能(300390),含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心;消费电子;光学光电子;锂电材料,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高。
13:06,valuable_comment,yege,同花顺评论备份 13:06,帖子评论量备份：867 条。帖子摘要：润泽科技(300442) 良信股份(002706) 啊呀我的粉丝真牛，16000白亿也是我粉丝抬轿子拉的。哈哈哈。菜就多练，别废口舌。aidc快点起飞。,润泽科技(300442);良信股份(002706),含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心;低压电器,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高。
