time,category,source,title,content,related_stocks,related_sectors,note
22:08,yege_post,yege,2026-05-11 22:08 圣阳股份(002580);大唐发电(601991);合力泰(002217),圣阳股份(002580) 大唐发电(601991) 合力泰(002217) 幽默的拉萨家人。。。,圣阳股份(002580);大唐发电(601991);合力泰(002217),含图片/截图核对;个股相关;野哥同花顺逻辑;储能;铅酸电池;电力;消费电子;光学光电子,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfmmcoc5lb94m423c4521
14:36,yege_post,yege,2026-05-11 14:36 野哥同花顺动态,"topicName:家族里第一个打开同花顺的人,topicCode:T86nzcb既然选择家族第一个打开k线的人。就勇敢的走下去。哪怕不成功你也为家族努力过。",,,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfiylefss8nau30a03fa7
14:16,yege_post,yege,2026-05-11 14:16 锦龙股份(000712);长江证券(000783),锦龙股份(000712) 长江证券(000783) 现在能不能理解野哥说的，渣男动了才是五月行情的开始。不要在弄丢你的筹码了，也不要在高抛低吸了。耐心持股才是王道。,锦龙股份(000712);长江证券(000783),交易动作;持仓表达;个股相关;野哥同花顺逻辑;证券,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfhz5zbh8fg8m84c19261
14:09,yege_post,yege,2026-05-11 14:09 天华新能(300390),天华新能(300390) 没动，这有啥好动的，昨天说了行情来的时候，不要乱动。要重拳出击不要唯唯诺诺。视频告诉你们怎么做了，还有很多粉丝追涨杀跌了吧！以为是自己的理解力。其实就是为自己的操作找个借口而已。,天华新能(300390),持仓表达;含图片/截图核对;个股相关;锂电材料,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfhmqqui0k2yec2017599
13:58,yege_post,yege,2026-05-11 13:58 圣阳股份(002580),圣阳股份(002580) 每一根k线背后都是代表的你们的情绪。在上下振幅的时候你能克制住自己的贪婪和恐惧吗？那个下单的人，真的是那个性格底色的你吗？不敢想象以前骂我那一波人现在还有没有了。现在过前高了，没有任何一个套牢盘了。现在对于羊我是不敢多说什么。缘由就是那些性格底色是恶的人。,圣阳股份(002580),含图片/截图核对;个股相关;野哥同花顺逻辑;储能;铅酸电池,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfh3j2fnlmpkm1574c159
09:46,yege_post,yege,2026-05-11 09:46 合力泰(002217),合力泰(002217) 我就是不做t。有啥好做的。自己砸自己。,合力泰(002217),含图片/截图核对;个股相关;野哥同花顺逻辑;消费电子;光学光电子,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1df6yaip03f3sm7babcebd
09:27,yege_post,yege,2026-05-11 09:27 野哥同花顺动态,今天全部符合我的心理预期。,,,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1df5mrziyspwc6e2f566b1
盘中,lihongjuan_post,lihongjuan,李红娟 2026-05-11 群聊评论备份,计划明早9点左右发。今晚姐妹局吃饭，没时间复盘 芯片hzjj也来了 今天卖xw一方面我是想做差，还有原因是我看昨天出来消息定增，我觉得今天它可能会充高回落。后面震荡往上的。没想到直接上去了 刚刚有人问为什么在商业航天里面精准找出tt的，说一下逻辑大家就明白了。周五前排商业航天全部回调，sj，jl冲高回落，而天通不仅没…,汉钟精机(002158);信维通信(300136);天通股份(600330);航天发展(000547);航天动力(600343);航天电子(600879),芯片设备;通用设备;消费电子;射频;商业航天;光通信;军工电子,douyin://im/group
22:08,valuable_comment,yege,同花顺评论备份 22:08,帖子评论量备份：168 条。帖子摘要：圣阳股份(002580) 大唐发电(601991) 合力泰(002217) 幽默的拉萨家人。。。,圣阳股份(002580);大唐发电(601991);合力泰(002217),含图片/截图核对;个股相关;野哥同花顺逻辑;储能;铅酸电池;电力;消费电子;光学光电子,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高。
14:36,valuable_comment,yege,同花顺评论备份 14:36,"帖子评论量备份：694 条。帖子摘要：topicName:家族里第一个打开同花顺的人,topicCode:T86nzcb既然选择家族第一个打开k线的人。就勇敢的走下去。哪怕不成功你也为家族努力过。",,,同花顺帖子备份，需结合截图和评论热度人工复核。
14:16,valuable_comment,yege,同花顺评论备份 14:16,帖子评论量备份：335 条。帖子摘要：锦龙股份(000712) 长江证券(000783) 现在能不能理解野哥说的，渣男动了才是五月行情的开始。不要在弄丢你的筹码了，也不要在高抛低吸了。耐心持股才是王道。,锦龙股份(000712);长江证券(000783),交易动作;持仓表达;个股相关;野哥同花顺逻辑;证券,文本包含买入、进场、加仓、低吸、锁仓或试错等动作词。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高。
14:09,valuable_comment,yege,同花顺评论备份 14:09,帖子评论量备份：180 条。帖子摘要：天华新能(300390) 没动，这有啥好动的，昨天说了行情来的时候，不要乱动。要重拳出击不要唯唯诺诺。视频告诉你们怎么做了，还有很多粉丝追涨杀跌了吧！以为是自己的理解力。其实就是为自己的操作找个借口而已。,天华新能(300390),持仓表达;含图片/截图核对;个股相关;锂电材料,动态包含图片，可能有交易截图，需人工点开核对。
13:58,valuable_comment,yege,同花顺评论备份 13:58,帖子评论量备份：399 条。帖子摘要：圣阳股份(002580) 每一根k线背后都是代表的你们的情绪。在上下振幅的时候你能克制住自己的贪婪和恐惧吗？那个下单的人，真的是那个性格底色的你吗？不敢想象以前骂我那一波人现在还有没有了。现在过前高了，没有任何一个套牢盘了。现在对于羊我是不敢多说什么。缘由就是那些性格底色是恶的人。,圣阳股份(002580),含图片/截图核对;个股相关;野哥同花顺逻辑;储能;铅酸电池,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高。
09:46,valuable_comment,yege,同花顺评论备份 09:46,帖子评论量备份：1007 条。帖子摘要：合力泰(002217) 我就是不做t。有啥好做的。自己砸自己。,合力泰(002217),含图片/截图核对;个股相关;野哥同花顺逻辑;消费电子;光学光电子,动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高。
15:05,after_close,,盘后总结,以真实备份数据生成当日复盘，缺失模块保持暂无数据，不自动编造。,,,import_yeren_backup.py
