time,category,source,title,content,related_stocks,related_sectors,note
14:59,yege_post,yege,2026-05-14 14:59 野哥同花顺动态,本来应该从从容容游刃有余，现在是匆匆忙忙连滚带爬～,,含图片/截图核对,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dhcinkb51ssfq71ae9771
14:19,yege_post,yege,2026-05-14 14:19 润泽科技(300442),润泽科技(300442) ？？？不许v 你v回来了，黑粉又不高兴了。他今晚又要气的吃不下饭了。,润泽科技(300442),交易动作;个股相关;野哥同花顺逻辑;AIDC;数据中心,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dh9ylspj0x0c6cda7dadf
13:14,yege_post,yege,2026-05-14 13:14 野哥同花顺动态,啊呀！快给我v红。。。。,,,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dh6blj6ywf2t200cd249e
09:47,yege_post,yege,2026-05-14 09:47 野哥同花顺动态,手上居然全绿。今天大盘预期就是冲高回落。所以预期之内的。我就不动了，启动睡觉大法了。,,持仓表达,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dgwaqkyqiz4l22a1ecdc2
09:27,yege_post,yege,2026-05-14 09:27 润泽科技(300442),润泽科技(300442) 试错，加仓。我错了也认。,润泽科技(300442),交易动作;含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dguclz184qak62478d21a
14:59,valuable_comment,yege,同花顺评论备份 14:59,帖子评论量备份：165 条。帖子摘要：本来应该从从容容游刃有余，现在是匆匆忙忙连滚带爬～,,含图片/截图核对,动态包含图片，可能有交易截图，需人工点开核对。
14:19,valuable_comment,yege,同花顺评论备份 14:19,帖子评论量备份：528 条。帖子摘要：润泽科技(300442) ？？？不许v 你v回来了，黑粉又不高兴了。他今晚又要气的吃不下饭了。,润泽科技(300442),交易动作;个股相关;野哥同花顺逻辑;AIDC;数据中心,文本包含买入、进场、加仓、低吸、锁仓或试错等动作词。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高。
13:14,valuable_comment,yege,同花顺评论备份 13:14,帖子评论量备份：859 条。帖子摘要：啊呀！快给我v红。。。。,,,同花顺帖子备份，需结合截图和评论热度人工复核。
09:47,valuable_comment,yege,同花顺评论备份 09:47,帖子评论量备份：784 条。帖子摘要：手上居然全绿。今天大盘预期就是冲高回落。所以预期之内的。我就不动了，启动睡觉大法了。,,持仓表达,同花顺帖子备份，需结合截图和评论热度人工复核。
09:27,valuable_comment,yege,同花顺评论备份 09:27,帖子评论量备份：356 条。帖子摘要：润泽科技(300442) 试错，加仓。我错了也认。,润泽科技(300442),交易动作;含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心,文本包含买入、进场、加仓、低吸、锁仓或试错等动作词。；动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-01 要信早信，无先手不追高；THS-07 中军只能小仓试错。
15:05,after_close,,盘后总结,以真实备份数据生成当日复盘，缺失模块保持暂无数据，不自动编造。,,,import_yeren_backup.py
