time,category,source,title,content,related_stocks,related_sectors,note
14:59,yege_post,yege,2026-05-15 14:59 润泽科技(300442);天华新能(300390);合力泰(002217),润泽科技(300442) 天华新能(300390) 合力泰(002217) 黄毛走了，带走了我的账户余额。,润泽科技(300442);天华新能(300390);合力泰(002217),减仓/退出风险;含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心;锂电材料;消费电子;光学光电子,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1di0eei3s5hjw6c1ad33fc
11:03,yege_post,yege,2026-05-15 11:03 良信股份(002706);合力泰(002217),良信股份(002706) 合力泰(002217) 完了大盘红了，不会把我洗出去了吧！,良信股份(002706);合力泰(002217),个股相关;野哥同花顺逻辑;低压电器;AIDC;消费电子;光学光电子,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dhq90kecfq8dy36974837
10:35,yege_post,yege,2026-05-15 10:35 工业富联(601138),工业富联(601138) 不会逼着我买这个吧！这也太大了太大了。,工业富联(601138),交易动作;个股相关,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dho8vgutxiltiafe6e44e
10:31,yege_post,yege,2026-05-15 10:31 野哥同花顺动态,算拉，算啦，拿了快一个月，也不给我走。想绑架我没门。交易唯有自渡呀，兄弟们。跟就要盈亏自负。我走个买都实时发的。没有毛病啊。又不是今天进明天就出。好多天了。懒得喷。,,交易动作;风险提示,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dhnxvzhbs1c6u02a40526
10:09,yege_post,yege,2026-05-15 10:09 野哥同花顺动态,我看这个评论有点搞笑，弱了我不能卖，你能卖？我死扛是吧。我想卖就卖，手在我身上。你的手也在你身上。盈亏自负。做不到的都是自己带幻想。,,风险提示,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dhm9a43jl68za87bdbc1e
09:58,yege_post,yege,2026-05-15 09:58 润泽科技(300442),润泽科技(300442) 弱了就是弱了。我也没有卖在最高点。合力泰早上最高点我也没卖到，但是我有去弱留强的概念。弱的不割去强的，就是死扛，你要想到底是谁在做交易。,润泽科技(300442),含图片/截图核对;个股相关;AIDC;数据中心,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dhl4tzgc40b1y984659e1
09:49,yege_post,yege,2026-05-15 09:49 润泽科技(300442);合力泰(002217);天华新能(300390),合力泰(002217) 润泽科技(300442) 天华新能(300390) 早上红9个,润泽科技(300442);合力泰(002217);天华新能(300390),含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心;消费电子;光学光电子;锂电材料,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dhk5zdef8lwjad6a4916b
09:44,yege_post,yege,2026-05-15 09:44 合力泰(002217),合力泰(002217) 来气,合力泰(002217),含图片/截图核对;个股相关;野哥同花顺逻辑;消费电子;光学光电子,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dhjmi6zttmxh238909208
14:59,valuable_comment,yege,同花顺评论备份 14:59,帖子评论量备份：224 条。帖子摘要：润泽科技(300442) 天华新能(300390) 合力泰(002217) 黄毛走了，带走了我的账户余额。,润泽科技(300442);天华新能(300390);合力泰(002217),减仓/退出风险;含图片/截图核对;个股相关;野哥同花顺逻辑;AIDC;数据中心;锂电材料;消费电子;光学光电子,文本包含减仓、走了、卖飞、止盈止损等退出类词。；动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-08 退出词优先风险；THS-06 二次回踩看承接；THS-08 退出词优先风险。
11:03,valuable_comment,yege,同花顺评论备份 11:03,帖子评论量备份：408 条。帖子摘要：良信股份(002706) 合力泰(002217) 完了大盘红了，不会把我洗出去了吧！,良信股份(002706);合力泰(002217),个股相关;野哥同花顺逻辑;低压电器;AIDC;消费电子;光学光电子,同花顺选股逻辑命中：THS-06 二次回踩看承接。
10:35,valuable_comment,yege,同花顺评论备份 10:35,帖子评论量备份：386 条。帖子摘要：工业富联(601138) 不会逼着我买这个吧！这也太大了太大了。,工业富联(601138),交易动作;个股相关,文本包含买入、进场、加仓、低吸、锁仓或试错等动作词。
10:31,valuable_comment,yege,同花顺评论备份 10:31,帖子评论量备份：542 条。帖子摘要：算拉，算啦，拿了快一个月，也不给我走。想绑架我没门。交易唯有自渡呀，兄弟们。跟就要盈亏自负。我走个买都实时发的。没有毛病啊。又不是今天进明天就出。好多天了。懒得喷。,,交易动作;风险提示,文本包含买入、进场、加仓、低吸、锁仓或试错等动作词。；文本包含被套、解套、风险、盈亏自负等风控词。
10:09,valuable_comment,yege,同花顺评论备份 10:09,帖子评论量备份：15 条。帖子摘要：我看这个评论有点搞笑，弱了我不能卖，你能卖？我死扛是吧。我想卖就卖，手在我身上。你的手也在你身上。盈亏自负。做不到的都是自己带幻想。,,风险提示,文本包含被套、解套、风险、盈亏自负等风控词。
09:58,valuable_comment,yege,同花顺评论备份 09:58,帖子评论量备份：149 条。帖子摘要：润泽科技(300442) 弱了就是弱了。我也没有卖在最高点。合力泰早上最高点我也没卖到，但是我有去弱留强的概念。弱的不割去强的，就是死扛，你要想到底是谁在做交易。,润泽科技(300442),含图片/截图核对;个股相关;AIDC;数据中心,动态包含图片，可能有交易截图，需人工点开核对。
15:05,after_close,,盘后总结,以真实备份数据生成当日复盘，缺失模块保持暂无数据，不自动编造。,,,import_yeren_backup.py
