time,category,source,title,content,related_stocks,related_sectors,note
15:05,yege_post,yege,2026-05-12 15:05 合力泰(002217),合力泰(002217) 今天4000家绿的，这个已经很强了，五日线就碰了一下。我反正就做自己看的懂的。而且也是免费分享的。赚钱嘛我也不要你的。你亏钱嘛也别人云亦云。一句话盈亏自负，毕竟你是家族内第一个打开k线的人，市场总归要套住你的。,合力泰(002217),风险提示;含图片/截图核对;个股相关;野哥同花顺逻辑;消费电子;光学光电子,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dg3re8kkxwhyue5cded90
14:53,yege_post,yege,2026-05-12 14:53 良信股份(002706),良信股份(002706) 股吧历史都是惊人的相似，以前的圣阳第一次地板的时候，合力泰第一个炸板的时候。我在想，这样人到底怎么在股市存活的。你不回家种地对国家都是损失。,良信股份(002706),含图片/截图核对;个股相关;低压电器;AIDC,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dg39cqpkyhiwm6f7472cd
14:32,yege_post,yege,2026-05-12 14:32 圣阳股份(002580),圣阳股份(002580) 真拿不住了。0轴走了。双头太磨叽了。,圣阳股份(002580),减仓/退出风险;风险提示;含图片/截图核对;个股相关;野哥同花顺逻辑;储能;铅酸电池,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dg29x3xmi60vq9bba9d46
11:28,yege_post,yege,2026-05-12 11:28 良信股份(002706),良信股份(002706) 今晚开始，这个股吧就各种分析，各种老师来了。你们一天到晚跟着我屁股后面热评，你们不累吗？有时间也去选一些量价齐升的，形态漂亮的好股。才是正事。这个缺口做防守，如果回补缺口就是弱了。,良信股份(002706),交易动作;含图片/截图核对;个股相关;低压电器;AIDC,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfwu0dzpiknw69aa07542
11:23,yege_post,yege,2026-05-12 11:23 天华新能(300390),天华新能(300390) 又被套了。服了。（叽里咕噜说啥呢。下午给我涨停。）,天华新能(300390),风险提示;含图片/截图核对;个股相关;野哥同花顺逻辑;锂电材料,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfwj3a4543som97f37304
11:15,yege_post,yege,2026-05-12 11:15 圣阳股份(002580);良信股份(002706),圣阳股份(002580) 良信股份(002706) 圣阳我快拿不住了。快给我加油打气。我也是家族第一个打开k线的人。,圣阳股份(002580);良信股份(002706),含图片/截图核对;个股相关;野哥同花顺逻辑;储能;铅酸电池;低压电器;AIDC,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfw0o68fc5bzq011b608e
10:23,yege_post,yege,2026-05-12 10:23 良信股份(002706),良信股份(002706) 里面的有福了。我叫阿良，善良的良，就是给你们抬轿子。,良信股份(002706),含图片/截图核对;个股相关;低压电器;AIDC,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfswb8nikln1y5471e7c5
09:52,yege_post,yege,2026-05-12 09:52 良信股份(002706),良信股份(002706) 今天如果涨停，这个涨停价很有意思。许愿能不能涨停。社保重仓的。符合大趋势。,良信股份(002706),含图片/截图核对;个股相关;野哥同花顺逻辑;低压电器;AIDC,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dfqf8f0yy1zhyc966a418
15:05,valuable_comment,yege,同花顺评论备份 15:05,帖子评论量备份：1018 条。帖子摘要：合力泰(002217) 今天4000家绿的，这个已经很强了，五日线就碰了一下。我反正就做自己看的懂的。而且也是免费分享的。赚钱嘛我也不要你的。你亏钱嘛也别人云亦云。一句话盈亏自负，毕竟你是家族内第一个打开k线的人，市场总归要套住你的。,合力泰(002217),风险提示;含图片/截图核对;个股相关;野哥同花顺逻辑;消费电子;光学光电子,文本包含被套、解套、风险、盈亏自负等风控词。；动态包含图片，可能有交易截图，需人工点开核对。；同花顺选股逻辑命中：THS-02 只做自己看懂的交易；THS-03 波段逻辑未破才持有。
14:53,valuable_comment,yege,同花顺评论备份 14:53,帖子评论量备份：564 条。帖子摘要：良信股份(002706) 股吧历史都是惊人的相似，以前的圣阳第一次地板的时候，合力泰第一个炸板的时候。我在想，这样人到底怎么在股市存活的。你不回家种地对国家都是损失。,良信股份(002706),含图片/截图核对;个股相关;低压电器;AIDC,动态包含图片，可能有交易截图，需人工点开核对。
