time,category,source,title,content,related_stocks,related_sectors,note
14:24,yege_post,yege,2026-05-18 14:24 良信股份(002706),良信股份(002706) 好好好。好……好……好……真棒。,良信股份(002706),低压电器;AIDC,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1dikysg0oloph2f39311cb
08:58,yege_post,yege,2026-05-18 08:58 全能的野人同花顺动态,怀着平淡的心情，等开盘，不要一惊一乍的。如果你是做波段的现在是机会很适合调仓换股，如果你是做短线的需要观望。等待情绪的拐点。不过我现在不建议做短线，市场风格已经不适合短线了。,,,https://t.10jqka.com.cn/pc/newgroup/discussdetail/contentId_1di76aze9kysc6703e4429
11:44,wangduoyu_video,wangduoyu,2026-05-18 11:44:58 五月份怎么感觉这么难啊#内容过于真实 #股民 #基金,视频评论抓取 170 条；有效线索 58 条；重点股票：江特电机(002176)、深科技(000021)、贵州燃气(600903)、五洲新春(603667),江特电机(002176);深科技(000021);贵州燃气(600903);五洲新春(603667);协鑫集成(002506);天娱数科(002354),光伏;电力;AIDC;射频;消费电子;环保设备,https://www.douyin.com/video/7641072798412890021
15:16,longge_video,longge,2026-05-18 15:16:04 明天一起见证大哥的🎫#股票 #股民 #vlgo十亿流量扶持计划,视频评论抓取 35 条；有效线索 12 条；重点股票：小商品城(600415)、嘉美包装(002969)、多氟多(002407)、格林美(002340),小商品城(600415);嘉美包装(002969);多氟多(002407);格林美(002340);浙江新能(600032);绿色动力(601330),,https://www.douyin.com/video/7641127199756948133
11:21,longge_video,longge,2026-05-18 11:21:36 来个真大哥，急需回血，感激不尽！#股票 #股民 #vlgo十亿流量扶持计划,视频评论抓取 666 条；有效线索 196 条；重点股票：合力泰(002217)、绿色动力(601330)、辽宁能源(600758)、万向钱潮(000559),合力泰(002217);绿色动力(601330);辽宁能源(600758);万向钱潮(000559);再升科技(603601);华盛昌(002980),电力;消费电子;光学光电子;电网设备;工业母机;光伏,https://www.douyin.com/video/7641066778256261553
14:24,valuable_comment,yege,同花顺评论备份 14:24,帖子评论量备份：1029 条。帖子摘要：良信股份(002706) 好好好。好……好……好……真棒。,良信股份(002706),低压电器;AIDC,同花顺帖子备份，需结合截图和评论热度人工复核。
08:58,valuable_comment,yege,同花顺评论备份 08:58,帖子评论量备份：214 条。帖子摘要：怀着平淡的心情，等开盘，不要一惊一乍的。如果你是做波段的现在是机会很适合调仓换股，如果你是做短线的需要观望。等待情绪的拐点。不过我现在不建议做短线，市场风格已经不适合短线了。,,,同花顺帖子备份，需结合截图和评论热度人工复核。
14:43,valuable_comment,wangduoyu,抖音评论 14:43,尾盘买入无锡振华，拿三到五天，,无锡振华(605319),,无锡振华(605319) 被提及 1 次，有效评论 1 条，来源 1 个，单视频线索，情绪 看多，当前判断：保留观察。
11:48,valuable_comment,wangduoyu,抖音评论 11:48,五洲新春拿住！,五洲新春(603667),,五洲新春(603667) 被提及 1 次，有效评论 1 条，来源 1 个，单视频线索，情绪 看多，当前判断：保留观察。
14:46,valuable_comment,wangduoyu,抖音评论 14:46,大普微去吧！让你吃肉,,,评论热度较高，但暂未自动识别到明确股票线索，保留人工复核。
14:00,valuable_comment,wangduoyu,抖音评论 14:00,再升科技[微笑]明天还有肉,再升科技(603601),,再升科技(603601) 被提及 3 次，有效评论 3 条，来源 2 个，跨来源共振，情绪 中性，当前判断：保留观察。
15:05,after_close,,盘后总结,以真实备份数据生成当日复盘，缺失模块保持暂无数据，不自动编造。,,,import_yeren_backup.py
